exam_name,category,status,exam_group,min_qualification,stream_requirement,scope,eligible_states,domicile_reservation_state,application_deadline,source_url,last_verified_date
AP POLYCET (Andhra Pradesh Polytechnic),Education,Active,AP POLYCET (Andhra Pradesh Polytechnic),Class 10 Pass,Any,national,All India,Andhra Pradesh,09-04-2026,https://polycetap.ap.gov.in,2026-09-03
Assam PAT (Polytechnic Admission Test),Education,Discontinued,Assam PAT (Polytechnic Admission Test),Class 10 Pass,Any,state,Assam,,,https://dte.assam.gov.in,28-07-2026
Bihar ITI CAT,Education,Active,Bihar ITI CAT,Class 10 Pass,Any,state,Bihar,,10 May 2026,https://bceceboard.bihar.gov.in,2026-09-03
Delhi CET (Delhi Polytechnic Exam) - General Diploma,Education,Active,Delhi CET ,Class 10 Pass,Any,national,All India,Delhi,"June 13, 2026",https://dseuonline.in,2026-09-03
Delhi CET (Delhi Polytechnic Exam) - Diploma in Pharmacy,Education,Active,Delhi CET ,12th Pass (appearing),PCM/B,national,All India,Delhi,"June 13, 2026",https://dseuonline.in,2026-09-04
JEECUP (UP Polytechnic Entrance),Education,Active,,Class 10 Pass,Any,Uttar Pradesh,Uttar Pradesh,,17/05/26,https://jeecup.admissions.nic.in,2026-09-04
JEXPO (West Bengal Polytechnic),Education,Active,,Class 10 Pass,Any,West Bengal,West Bengal,,04.05.2026,https://webscte.co.in/JEXPO,2026-09-04
MP PPT (MP Pre-Polytechnic Test),Education,Active,,Class 10 Pass,Any,Madhya Pradesh,Madhya Pradesh,,,https://esb.mp.gov.in,2026-09-04
TS POLYCET (Telangana Polytechnic),Education,Active,,Class 10 Pass,Any,Telangana,Telangana,,2026-04-22,https://polycet.sbtet.telangana.gov.in,2026-09-04
Uttarakhand JEEP (Polytechnic Entrance),Education,Active,,Class 10 Pass,Any,Uttarakhand,Uttarakhand,,"May 15, 2026",https://ubter.in,2026-09-04
Chhattisgarh PPT (CG Polytechnic Test),Education,Active,,Class 10 Pass,Any,Chhattisgarh,Chhattisgarh,,,https://vyapam.cgstate.gov.in,2026-09-04
Odisha DET (Diploma Entrance Test),Education,Active,,Class 10 Pass,Any,Odisha,Odisha,,01/06/26,http://sctevtodisha.nic.in,2026-09-04
H.P. Administrative Service Combined Competitive Examination ,Recruitment,Active,,Bachelor’s Degree,Any,state,Himachal Pradesh,Himachal Pradesh,22/09/26,https://hppsc.hp.gov.in/,
Combined Entrance Test - Allied and Healthcare College ,Education,Active,,12th Pass (appearing),PCB,state,Himachal Pradesh,Himachal Pradesh,13-09- 2026 ,https://amruhp.ac.in/counselling-notifications/,
RRB Group D (Railways Level-1 Posts),Recruitment,Active,,Class 10 Pass,Any,national,All India,,,RRB regional sites (e.g. http://rrbald.gov.in),2026-09-04
